long,lat,group,order,region,subregion
-113.31337,25.40678,66,17001,alaska,NA
-113.32319,25.23402,66,17032,alaska,NA
-113.3267,25.51268,64,16154,alaska,NA
-113.32799,25.59906,64,16157,alaska,NA
-113.32858,25.70236,84,17601,alaska,NA
-113.32915,25.71478,64,16161,alaska,NA
-113.33082,25.43875,66,17077,alaska,NA
-113.33193,25.21239,66,17031,alaska,NA
-113.33306,25.68833,64,16159,alaska,NA
-113.33431,25.13066,82,17570,alaska,NA
-113.33439,25.23892,66,17033,alaska,NA
-113.33619,25.54185,64,16155,alaska,NA
-113.33982,25.51655,64,16153,alaska,NA
-113.34057,25.27069,66,17035,alaska,NA
-113.34065,25.11863,82,17571,alaska,NA
-113.34112,25.59136,80,17539,alaska,NA
-113.3462,25.28627,66,17037,alaska,NA
-113.34623,25.24483,66,17036,alaska,NA
-113.34705,25.66232,84,17602,alaska,NA
-113.34952,25.14868,82,17569,alaska,NA
-113.35074,25.51979,64,16152,alaska,NA
-113.35157,25.37178,66,17002,alaska,NA
-113.35307,25.09477,82,17573,alaska,NA
-113.3545,25.8532,64,16098,alaska,NA
-113.35655,25.60151,80,17540,alaska,NA
-113.35717,25.28384,66,17039,alaska,NA
-113.35736,25.75688,64,16162,alaska,NA
-113.35837,25.66051,80,17537,alaska,NA
-113.362,25.74722,84,17600,alaska,NA
-113.36499,25.41183,66,17000,alaska,NA
-113.36499,25.41183,66,17084,alaska,NA
-113.36511,25.48078,66,17076,alaska,NA
-113.36618,25.2691,66,17040,alaska,NA
-113.37178,25.46034,66,17075,alaska,NA
-113.37347,25.31146,66,17038,alaska,NA
-113.37452,25.64335,80,17538,alaska,NA
-113.37864,25.42693,66,17082,alaska,NA
-113.38387,25.14377,82,17575,alaska,NA
-113.38419,25.57202,80,17541,alaska,NA
-113.38579,25.92391,64,16097,alaska,NA
-113.38939,25.1244,82,17574,alaska,NA
-113.39257,25.43175,66,17081,alaska,NA
-113.39404,25.45327,66,17080,alaska,NA
-113.39536,25.2777,66,17041,alaska,NA
-113.39697,25.74267,84,17599,alaska,NA
-113.39904,25.75163,64,16163,alaska,NA
-113.40432,25.38237,66,17083,alaska,NA
-113.40568,25.52562,66,17074,alaska,NA
-113.40588,25.60995,80,17543,alaska,NA
-113.40754,25.58148,80,17542,alaska,NA
-113.41059,25.30699,66,17042,alaska,NA
-113.41292,25.68959,84,17603,alaska,NA
-113.41529,25.77976,64,16164,alaska,NA
-113.42022,25.2222,82,17567,alaska,NA
-113.42111,25.68083,80,17536,alaska,NA
-113.42821,25.70312,84,17604,alaska,NA
-113.42935,25.33442,66,17048,alaska,NA
-113.43134,25.67972,80,17534,alaska,NA
-113.4327,25.30479,66,17044,alaska,NA
-113.44334,25.72136,80,17533,alaska,NA
-113.44334,25.72136,80,17549,alaska,NA
-113.4438,25.93214,64,16096,alaska,NA
-113.44531,25.66265,80,17535,alaska,NA
-113.44618,25.27018,66,17043,alaska,NA
-113.44758,25.99843,64,16095,alaska,NA
-113.44832,25.77699,84,17598,alaska,NA
-113.44832,25.77699,84,17605,alaska,NA
-113.44885,25.16649,82,17576,alaska,NA
-113.44971,25.22252,82,17568,alaska,NA
-113.45582,25.79352,64,16165,alaska,NA
-113.45951,25.22591,82,17578,alaska,NA
-113.46098,25.83574,64,16166,alaska,NA
-113.46254,25.60132,80,17544,alaska,NA
-113.46388,25.33338,66,17049,alaska,NA
-113.46801,25.36058,66,17051,alaska,NA
-113.47006,25.714,80,17548,alaska,NA
-113.47239,25.27902,82,17566,alaska,NA
-113.47239,25.27902,82,17580,alaska,NA
-113.47344,25.43063,66,17054,alaska,NA
-113.47509,25.57392,66,17073,alaska,NA
-113.4764,25.66942,80,17547,alaska,NA
-113.47974,25.21696,82,17577,alaska,NA
-113.48204,25.61856,80,17545,alaska,NA
-113.48463,25.34743,66,17050,alaska,NA
-113.48819,25.24417,82,17579,alaska,NA
-113.49245,25.89842,64,16170,alaska,NA
-113.49462,25.66013,80,17546,alaska,NA
-113.49501,25.83868,64,16168,alaska,NA
-113.49585,25.67696,87,17627,alaska,NA
-113.49729,25.7285,87,17626,alaska,NA
-113.50025,25.79964,86,17616,alaska,NA
-113.50177,25.40054,66,17053,alaska,NA
-113.50254,25.2847,66,17045,alaska,NA
-113.50498,25.36591,66,17052,alaska,NA
-113.50764,25.32352,66,17047,alaska,NA
-113.508,26.0463,64,16093,alaska,NA
-113.50943,25.81664,64,16167,alaska,NA
-113.51388,25.86403,64,16171,alaska,NA
-113.51436,25.84965,64,16169,alaska,NA
-113.51693,25.30249,66,17046,alaska,NA
-113.51759,25.99706,64,16094,alaska,NA
-113.5227,25.74435,87,17625,alaska,NA
-113.5227,25.74435,87,17631,alaska,NA
-113.52748,25.65374,87,17628,alaska,NA
-113.53216,25.76338,86,17618,alaska,NA
-113.54139,25.38823,66,17055,alaska,NA
-113.54173,25.7538,86,17619,alaska,NA
-113.54338,25.77635,86,17617,alaska,NA
-113.55091,25.50948,66,17059,alaska,NA
-113.55157,26.08763,64,16092,alaska,NA
-113.55671,25.45236,66,17058,alaska,NA
-113.5569,25.57358,66,17072,alaska,NA
-113.55919,25.62217,66,17070,alaska,NA
-113.56672,25.39498,66,17056,alaska,NA
-113.57164,25.72597,87,17630,alaska,NA
-113.57417,25.6435,66,17069,alaska,NA
-113.57526,25.50924,66,17060,alaska,NA
-113.57676,25.59311,66,17071,alaska,NA
-113.57846,25.74847,86,17620,alaska,NA
-113.57984,25.88068,64,16172,alaska,NA
-113.58032,25.85771,86,17615,alaska,NA
-113.58032,25.85771,86,17624,alaska,NA
-113.58036,25.79838,86,17622,alaska,NA
-113.58371,25.4347,66,17057,alaska,NA
-113.58439,25.68018,87,17629,alaska,NA
-113.59,25.79267,74,17337,alaska,NA
-113.59127,25.77806,86,17621,alaska,NA
-113.59289,25.92374,64,16174,alaska,NA
-113.60129,25.53683,91,17660,alaska,NA
-113.60587,25.77669,74,17338,alaska,NA
-113.60616,25.59828,66,17061,alaska,NA
-113.60933,25.58796,91,17659,alaska,NA
-113.60933,25.58796,91,17667,alaska,NA
-113.60984,25.74451,74,17345,alaska,NA
-113.6109,25.66738,66,17068,alaska,NA
-113.6117,25.96778,64,16175,alaska,NA
-113.61477,25.87647,74,17335,alaska,NA
-113.61523,25.85098,86,17623,alaska,NA
-113.61933,25.71374,74,17346,alaska,NA
-113.62182,25.85326,74,17336,alaska,NA
-113.62314,25.93617,64,16176,alaska,NA
-113.62324,25.77691,74,17343,alaska,NA
-113.62676,25.91909,64,16173,alaska,NA
-113.63065,25.63715,66,17067,alaska,NA
-113.63631,25.76754,74,17344,alaska,NA
-113.6384,25.53709,91,17661,alaska,NA
-113.63908,25.6573,66,17066,alaska,NA
-113.64695,25.55964,91,17665,alaska,NA
-113.65349,25.91115,74,17334,alaska,NA
-113.65349,25.91115,74,17364,alaska,NA
-113.65467,25.77365,74,17342,alaska,NA
-113.65719,25.49048,91,17662,alaska,NA
-113.65737,25.80346,74,17341,alaska,NA
-113.6731,25.69793,74,17348,alaska,NA
-113.67947,25.8057,74,17340,alaska,NA
-113.67997,25.56747,91,17666,alaska,NA
-113.68041,25.71446,74,17347,alaska,NA
-113.68485,25.96783,64,16178,alaska,NA
-113.68615,25.54009,91,17664,alaska,NA
-113.68685,25.63127,66,17064,alaska,NA
-113.6869,25.94166,64,16177,alaska,NA
-113.68815,25.59542,66,17062,alaska,NA
-113.69122,25.8777,74,17362,alaska,NA
-113.69395,25.48019,91,17663,alaska,NA
-113.69464,26.05317,64,16186,alaska,NA
-113.6959,25.97241,64,16179,alaska,NA
-113.69891,25.61962,66,17063,alaska,NA
-113.70083,25.84177,74,17339,alaska,NA
-113.70194,26.10745,64,16196,alaska,NA
-113.70196,25.64711,66,17065,alaska,NA
-113.70381,25.68036,74,17349,alaska,NA
-113.70667,25.90552,74,17363,alaska,NA
-113.7125,25.90101,74,17361,alaska,NA
-113.71461,25.97017,64,16180,alaska,NA
-113.71734,25.93907,64,16181,alaska,NA
-113.72004,25.67948,74,17350,alaska,NA
-113.72562,26.00735,64,16185,alaska,NA
-113.72598,26.02233,64,16187,alaska,NA
-113.73244,25.72333,74,17351,alaska,NA
-113.7336,25.73498,74,17353,alaska,NA
-113.74249,25.72254,74,17352,alaska,NA
-113.74594,25.60664,76,17461,alaska,NA
-113.74606,25.73358,76,17454,alaska,NA
-113.74714,25.58416,76,17464,alaska,NA
-113.74803,25.52779,76,17415,alaska,NA
-113.74803,25.52779,76,17466,alaska,NA
-113.75177,25.71637,76,17455,alaska,NA
-113.75672,25.6655,76,17459,alaska,NA
